MemberType,Name,DataType
property,AllowGlobalEdit,Boolean
property,BarCodeBitPattern,TPCBString
property,BarCodeFontName,TPCBString
property,BarCodeFullHeight,TCoord
property,BarCodeFullWidth,TCoord
property,BarCodeInverted,Boolean
property,BarCodeKind,TBarcodeKind
property,BarCodeMinWidth,TCoord
property,BarCodeRenderMode,TBarcodeRenderMode
property,BarCodeShowText,Boolean
property,BarCodeXMargin,TCoord
property,BarCodeYMargin,TCoord
procedure,BeginModify,
procedure,BeginOutputGeneration(AConverter : IPCB_OutputConverter; AList : IInterfaceList),
property,Board,IPCB_Board
property,Bold,Boolean
property,BorderSpaceType,TTextBorderSpaceType
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelModify,
function,CanEditMultineRectSize,Boolean
property,CharSet,Byte
property,Component,IPCB_Component
property,ConvertedString,TPCBString
property,Coordinate,IPCB_Coordinate
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DisableSpecialStringConversion,Boolean
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,EndOutputGeneration,
procedure,Export_ToParameters(AParams : PWideChar),
procedure,FlipXY(Axis : Integer; MirOp : TMirrorOperation),
property,FontID,TFontID
property,FontName,TPCBString
property,GetDesignatorDisplayString,WideString
function,GetState_BarCodeMinPixelSize,Integer
procedure,GraphicallyInvalidate,
property,Handle,TPCBString
property,Identifier,TPCBString
function,InAutoDimension,Boolean
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
property,Inverted,Boolean
property,InvertedTTFTextBorder,TCoord
property,InvRectHeight,Integer
property,InvRectWidth,Integer
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
function,IsComment,Boolean
function,IsDesignator,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
property,IsRedundant,Boolean
function,IsSaveable(AVar : TAdvPCBFileFormatVersion),Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
property,Italic,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,Layer_V6,TV6_Layer
procedure,Mirror(Axis : Integer; MirOp : TMirrorOperation),
property,MirrorFlag,Boolean
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Moveable,Boolean
procedure,MoveByXY(AX : Integer; AY : Integer),
procedure,MoveToXY(AX : Integer; AY : Integer),
property,MultiLine,Boolean
property,MultilineTextAutoPosition,TTextAutoposition
property,MultilineTextHeight,TCoord
property,MultilineTextResizeEnabled,Boolean
property,MultilineTextWidth,TCoord
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
function,Replicate,IPCB_Primitive
function,RequiredParameterSpace,Integer
procedure,RotateAroundXY(AX : Integer; AY : Integer; Angle : Double),
procedure,RotateBy(Angle : Double),
property,Rotation,TAngle
function,RotationHandle,IDispatch
property,Selected,Boolean
procedure,SetState_BarCodeMinPixelSize(const Value : Integer),
procedure,"SetState_Preview(Enable : Boolean; Color : Cardinal; Opacity : Single; z : Integer; Height : Integer; sx : Single; sy : Single; SZ : Single)",
function,SetState_XSizeYSize,Boolean
property,Size,TCoord
property,SolderMaskExpansion,TCoord
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,Text,TPCBString
property,TextKind,TTextKind
property,TTFInvertedTextJustify,TTextAutoposition
property,TTFOffsetFromInvertedRect,TCoord
property,TTFTextHeight,Integer
property,TTFTextWidth,Integer
property,TTFTextOutline,Pointer
property,TTFTextOutlineGeometricPolygon,IPCB_GeometricPolygon
property,UnderlyingString,TPCBString
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UseInvertedRectangle,Boolean
property,UserRouted,Boolean
property,UseTTFonts,Boolean
property,ViewableObjectID,TViewableObjectID
property,Width,TCoord
property,WordWrap,Boolean
property,X1Location,TCoord
property,X2Location,TCoord
property,XLocation,TCoord
property,Y1Location,TCoord
property,Y2Location,TCoord
property,YLocation,TCoord
