MemberType,Name,DataType
property,AreaRectangleSelectionColor,TColor
property,AutoNecking,Boolean
property,AutoPan,Boolean
property,AutoPanLargeStep,Integer
property,AutoPanMode,TAutoPanMode
property,AutoPanSmallStep,Integer
property,AutoPanSpeed,Integer
property,AutoPanUnit,TAutoPanUnit
property,AutoVia,Boolean
property,BackgroundMaskLevel,Integer
property,BoardAreaColor,TColor
property,BoardCursorType,TGraphicsCursor
property,BoardLineColor,TColor
property,BodyPlacement_UseSnapPoints,Boolean
property,BodyPlacement_UseVertices,Boolean
property,CheckComments,Boolean
property,CheckPatterns,Boolean
property,CleanRedraw,Boolean
property,ClickClearsSelection,Boolean
property,Com1Parameters,TSerialParameters
property,Com2Parameters,TSerialParameters
property,Com3Parameters,TSerialParameters
property,Com4Parameters,TSerialParameters
property,ComponentLockPrimitives,Boolean
property,ComponentMoveKind,TComponentMoveKind
property,ComponentRefPointColor,TColor
property,ConfirmSelectionMemoryClear,Boolean
property,ContextDependentColors,Boolean
property,DefaultPrimsPermanent,Boolean
property,DefaultTTFont,TPCBString
property,DeleteDeadInds,Boolean
property,DeleteUnconnectedComps,Boolean
property,DeleteUnconnectedPrims,Boolean
property,DisplaySpecialStrings,Boolean
property,DoOnlineDRC,Boolean
property,DoubleClickRunsInspector,Boolean
property,DraftTrackThreshold,TCoord
property,DragMode,TDScrpMode
property,DragVertexAction,TVertexAction
function,DrawMode[Old: TObjectId],TDrawMode
property,DuplicateDesignatorsAllowed,Boolean
procedure,Export_ToIniFile,
procedure,Export_ToParameters(Parameters : PWideChar),
procedure,Export_ToParameters_Version3(Parameters : PWideChar),
procedure,Export_ToParameters_Version4(Parameters : PWideChar),
property,FilteredObjectsBlend,Integer
property,FirstDimensionLine,TColor
property,FractionalDigits[aUnit: TUnit],Integer
property,FromToDisplayMode,TFromToGrpMode
function,GetOptionsForGlobalSelection,IPCB_RoutingOptionsPage
function,GetState_AmbiguityThreshold,Integer
function,GetState_HighlightColor,Cardinal
property,GlobalEditIncludeArcsWithTracks,Boolean
property,HighlightFull,Boolean
property,HighlightObjectsBlend,Integer
property,HoldShiftToSelectObjectId[Old: TObjectId],Boolean
property,HuppingStyle,THuppingStyle
procedure,Import_FromIniFile,
procedure,Import_FromParameters(DisplayUnit : TUnit; Parameters : PWideChar),
procedure,Import_FromParameters_Version3(DisplayUnit : TUnit; Parameters : PWideChar),
procedure,Import_FromParameters_Version4(DisplayUnit : TUnit; Parameters : PWideChar),
property,InteractiveRouteMode,TInteractiveRouteMode
function,I_ObjectAddress,Pointer
function,LayerColorIterator,IPCB_LayerIterator
