MemberType,Name,DataType
property,BatchType,TPrinterBatch
property,cBorderSize,TCoord
property,CompositePlotColorLayers[L: TV6_Layer],TColor
property,CompositePlotLayers[L: TV6_Layer],Boolean
property,CompositePlotMonoLayers[L: TV6_Layer],TColor
property,CompositePlotPens[L: TV6_Layer],Integer
property,CompositeType,TPrinterComposite
property,Device,TPCBString
property,Driver,TPCBString
procedure,Export_ToParameters(Parameters : PWideChar),
procedure,Export_ToParameters_GeneralOptions(Parameters : PWideChar),
procedure,Export_ToParameters_LayerOptions(Parameters : PWideChar),
procedure,Export_ToParameters_LayerOptions_Version3(Parameters : PWideChar),
procedure,Export_ToParameters_Version3(Parameters : PWideChar),
procedure,Export_ToParameters_Version4(Parameters : PWideChar),
procedure,Import_FromParameters(DisplayUnit : TUnit; Parameters : PWideChar),
procedure,Import_FromParameters_GeneralOptions(DisplayUnit : TUnit; Parameters : PWideChar),
procedure,Import_FromParameters_LayerOptions(Parameters : PWideChar),
procedure,Import_FromParameters_LayerOptions_Version3(Parameters : PWideChar),
procedure,Import_FromParameters_Version3(DisplayUnit : TUnit; Parameters : PWideChar),
procedure,Import_FromParameters_Version4(DisplayUnit : TUnit; Parameters : PWideChar),
function,I_ObjectAddress,Pointer
property,OptionsObjectID,TOptionsObjectId
property,OutPut,TPCBString
property,OutputDriverType,TOutputDriverType
property,PlotMode[OId: TObjectId],TDrawMode
property,PlotPadNets,Boolean
property,PlotPadNumbers,Boolean
property,PlotterLanguage,TPlotterLanguage
property,PlotterOutputPort,TOutputPort
property,PlotterPens[Pen: Integer],TPlotterPen
property,PlotterScale,TGeometry
property,PlotterShowHoles,Boolean
property,PlotterUseSoftwareArcs,Boolean
property,PlotterWaitBetweenSheets,Boolean
property,PlotterXCorrect,TGeometry
property,PlotterXOffset,TCoord
property,PlotterYCorrect,TGeometry
property,PlotterYOffset,TCoord
property,Scale,TGeometry
property,ScaleToFitPage,Boolean
property,ShowHoles,Boolean
property,UsePrinterFonts,Boolean
property,UseSoftwareArcs,Boolean
property,XCorrect,TGeometry
property,YCorrect,TGeometry
